,data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,totale_casi,ingressi_terapia_intensiva
289,2020-03-08T18:00:00,Sicilia,18,0,18,51,18,18,0,53,
290,2020-03-08T18:00:00,Toscana,91,7,98,165,53,53,0,166,
291,2020-03-08T18:00:00,Umbria,2,2,4,26,2,2,0,26,
292,2020-03-08T18:00:00,Valle d'Aosta,1,0,1,9,1,1,0,9,
293,2020-03-08T18:00:00,Veneto,146,47,193,623,118,127,18,670,
294,2020-03-09T18:00:00,Abruzzo,25,0,25,30,13,13,0,30,
295,2020-03-09T18:00:00,Basilicata,2,0,2,5,1,1,0,5,
296,2020-03-09T18:00:00,Calabria,8,0,8,9,0,2,0,11,
297,2020-03-09T18:00:00,Campania,42,8,50,119,19,19,0,120,
298,2020-03-09T18:00:00,Emilia-Romagna,576,90,666,1286,189,206,70,1386,
299,2020-03-09T18:00:00,Friuli Venezia Giulia,18,1,19,89,36,36,1,93,
300,2020-03-09T18:00:00,Lazio,55,8,63,94,13,15,5,102,
301,2020-03-09T18:00:00,Liguria,60,17,77,97,30,31,7,109,
302,2020-03-09T18:00:00,Lombardia,2802,440,3242,4490,1118,1280,333,5469,
303,2020-03-09T18:00:00,Marche,136,47,183,313,48,51,10,323,
304,2020-03-09T18:00:00,Molise,4,2,6,14,0,0,0,14,
305,2020-03-09T18:00:00,P.A. Bolzano,8,0,8,9,0,0,0,9,
306,2020-03-09T18:00:00,P.A. Trento,10,2,12,33,10,10,0,33,
307,2020-03-09T18:00:00,Piemonte,222,50,272,337,-18,-10,13,350,
308,2020-03-09T18:00:00,Puglia,20,6,26,46,10,10,3,50,
309,2020-03-09T18:00:00,Sardegna,8,0,8,19,8,8,0,19,
310,2020-03-09T18:00:00,Sicilia,19,0,19,52,1,1,0,54,
311,2020-03-09T18:00:00,Toscana,107,9,116,206,41,42,1,208,
312,2020-03-09T18:00:00,Umbria,4,2,6,28,2,2,0,28,
313,2020-03-09T18:00:00,Valle d'Aosta,4,0,4,15,6,6,0,15,
314,2020-03-09T18:00:00,Veneto,186,51,237,694,71,74,20,744,
315,2020-03-10T18:00:00,Abruzzo,17,9,26,37,7,8,1,38,
316,2020-03-10T18:00:00,Basilicata,2,0,2,7,2,2,0,7,
317,2020-03-10T18:00:00,Calabria,8,2,10,11,2,2,0,13,
318,2020-03-10T18:00:00,Campania,33,8,41,126,7,7,0,127,
319,2020-03-10T18:00:00,Emilia-Romagna,669,98,767,1417,131,147,85,1533,
320,2020-03-10T18:00:00,Friuli Venezia Giulia,27,6,33,110,21,23,3,116,
321,2020-03-10T18:00:00,Lazio,50,15,65,99,5,14,6,116,
322,2020-03-10T18:00:00,Liguria,57,29,86,128,31,32,8,141,
323,2020-03-10T18:00:00,Lombardia,3319,466,3785,4427,-63,322,468,5791,
324,2020-03-10T18:00:00,Marche,152,54,206,381,68,71,13,394,
325,2020-03-10T18:00:00,Molise,3,3,6,15,1,1,0,15,
326,2020-03-10T18:00:00,P.A. Bolzano,17,1,18,38,29,29,0,38,
327,2020-03-10T18:00:00,P.A. Trento,19,3,22,50,17,19,0,52,
328,2020-03-10T18:00:00,Piemonte,306,66,372,436,99,103,17,453,
329,2020-03-10T18:00:00,Puglia,28,6,34,55,9,9,3,59,
330,2020-03-10T18:00:00,Sardegna,9,0,9,20,1,1,0,20,
331,2020-03-10T18:00:00,Sicilia,17,2,19,60,8,8,0,62,
332,2020-03-10T18:00:00,Toscana,91,40,131,260,54,56,1,264,
333,2020-03-10T18:00:00,Umbria,8,2,10,37,9,9,0,37,
334,2020-03-10T18:00:00,Valle d'Aosta,2,0,2,17,2,2,0,17,
335,2020-03-10T18:00:00,Veneto,204,67,271,783,89,112,26,856,
336,2020-03-11T17:00:00,Abruzzo,17,9,26,37,0,0,1,38,
337,2020-03-11T17:00:00,Basilicata,1,1,2,8,1,1,0,8,
338,2020-03-11T17:00:00,Calabria,10,2,12,17,6,6,0,19,
339,2020-03-11T17:00:00,Campania,56,11,67,149,23,27,1,154,
340,2020-03-11T17:00:00,Emilia-Romagna,745,104,849,1588,171,206,113,1739,
341,2020-03-11T17:00:00,Friuli Venezia Giulia,16,5,21,110,0,10,6,126,
342,2020-03-11T17:00:00,Lazio,67,18,85,125,26,34,6,150,
343,2020-03-11T17:00:00,Liguria,74,34,108,181,53,53,8,194,
344,2020-03-11T17:00:00,Lombardia,3852,560,4412,5763,1336,1489,617,7280,
345,2020-03-11T17:00:00,Marche,212,66,278,461,80,85,18,479,
346,2020-03-11T17:00:00,Molise,4,3,7,16,1,1,0,16,
